136.0.46.0/24,FR,FR-IDF,Paris,93200
136.0.90.0/24,FR,FR-IDF,Paris,93200
136.0.110.0/24,FR,FR-IDF,Paris,93200
166.88.31.0/24,NL,NL-NH,Amsterdam,1096 AH
166.88.122.0/24,FR,FR-IDF,Paris,93200

136.0.116.0/24,PL,PL-14,Warsaw,02-677
166.88.232.0/24,TH,TH-10,Bangkok,10700
166.88.248.0/24,TH,TH-10,Bangkok,10700
23.27.240.0/24,GB,GB-ENG,London,M15 5RL
